entry_time,exit_time,side,entry,exit,lots,pnl,reason
2019-07-08,2019-07-11,1,108.4799990234375,107.86501751983775,0.07,-29.18913683465503,stop
2019-07-15,2019-07-16,-1,107.82600073242187,108.18620487760734,0.12,-29.656331614837054,stop
2019-07-17,2019-07-18,1,108.20699639892578,108.05099639892578,0.28,-31.08000000000111,stop
2019-07-18,2019-07-19,-1,107.93099645996094,107.37662436656208,0.18,65.26465120786246,tp
2019-07-24,2019-07-25,1,108.23800225830078,108.04277183034657,0.22,-30.173796099951495,stop
2019-08-02,2019-08-09,-1,107.42499975585937,105.43099975585938,0.05,66.11666666666667,tp
2019-08-20,2019-08-21,1,106.5799974975586,106.42399749755859,0.29,-32.19000000000114,stop
2019-08-21,2019-08-22,-1,106.26800207519531,106.49998752414984,0.19,-30.714823534240736,stop
2019-08-22,2019-08-23,1,106.60300012207031,106.39805530826189,0.21,-30.162273933179424,stop
2019-08-26,2019-08-27,-1,104.84599737548828,105.65199737548828,0.05,-27.216666666666587,stop
2019-08-29,2019-08-30,1,106.07599969482422,106.44499969482422,0.28,66.91999999999997,tp
2019-09-04,2019-09-05,-1,105.85500006103516,106.10670662787632,0.17,-29.71674424199867,stop
2019-09-05,2019-09-06,1,106.33099694824219,107.00998592053038,0.15,66.84889722881952,tp
2019-09-25,2019-09-26,-1,107.15700201416016,107.63099042919869,0.09,-29.069304902312016,stop
2019-09-26,2019-09-27,1,107.69800134277344,108.06700134277344,0.28,66.91999999999997,tp
2019-10-02,2019-10-03,-1,107.73099951171875,107.36199951171875,0.29,69.30999999999996,tp
2019-10-11,2019-11-01,1,107.88599725341797,107.99000219726562,0.09,5.610296630859348,ma_exit
2019-11-01,2019-11-04,-1,107.99000219726562,108.56946164616836,0.07,-27.531440948794486,stop
2019-11-05,2019-11-07,1,108.70000024414063,109.17661402737838,0.22,68.36335487487035,tp
2019-11-14,2019-11-18,-1,108.7919965209961,108.9479965209961,0.3,-33.300000000001184,stop
2019-11-26,2019-12-02,1,108.99799676513672,109.69799481931085,0.15,68.94980541741309,tp
2019-12-04,2019-12-12,-1,108.64699987792969,109.00398886084619,0.12,-29.399118633320395,stop
2019-12-13,2019-12-30,1,109.41900201416016,108.80777182440158,0.07,-29.01407552206671,stop
2019-12-31,2020-01-01,-1,108.86700109863281,109.34383929069486,0.09,-29.24029152372282,stop
2020-01-09,2020-01-10,1,109.03699822998047,109.48652555298911,0.24,70.24437168138212,tp
2020-01-24,2020-01-27,-1,109.546001953125,109.177001953125,0.3,71.69999999999996,tp
2020-02-05,2020-02-12,1,109.4529985961914,109.975509532978,0.21,71.68153115012237,tp
2020-02-28,2020-03-02,-1,109.65400366210937,107.80447884259904,0.06,73.56099278041343,tp
2020-03-18,2020-03-19,1,107.38299890136719,109.37699890136719,0.05,66.11666666666667,tp
2020-03-30,2020-03-31,-1,107.40700201416016,108.21300201416015,0.05,-27.216666666666587,stop
2020-04-06,2020-04-09,1,108.69900079345703,108.37840946046244,0.14,-30.901857746162275,stop
2020-04-10,2020-04-13,-1,108.55499700927734,108.08699798081962,0.24,73.19984455323612,tp
