symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
GBPUSD,sma,89,flip,2.0,141,0.3404,0.9463,-0.0358,0.1283,0.2479,-1.22,0.0,33.85,296.87,3559.92,3856.79,0.15181
GBPUSD,sma,89,flip,2.5,141,0.2979,0.9952,-0.0034,0.1553,0.2821,-0.12,0.0,41.21,431.73,3554.58,3986.3,0.157248
GBPUSD,sma,89,slope_flip,1.5,52,0.4038,0.9395,-0.0132,0.0383,0.1368,-0.45,0.0,20.01,30.55,3916.6,3947.15,0.105192
GBPUSD,sma,89,slope_flip,2.0,52,0.3846,1.1676,0.038,0.0378,0.1282,1.3,0.0,24.52,165.81,3986.09,4151.9,0.094426
GBPUSD,sma,89,slope_flip,2.5,52,0.2885,0.9375,-0.0163,0.0705,0.1197,-0.56,0.0,23.83,78.38,3856.6,3934.98,0.085702
GBPUSD,sma,89,pullback,1.5,111,0.2252,0.3994,-0.3007,0.3486,0.094,-10.28,0.0,28.84,41.51,2755.85,2797.36,0.045019
GBPUSD,sma,89,pullback,2.0,111,0.2162,0.5118,-0.2521,0.3183,0.1111,-8.62,0.0,32.69,55.7,2935.91,2991.61,0.053772
GBPUSD,sma,89,pullback,2.5,109,0.1927,0.5681,-0.2309,0.3041,0.1282,-7.89,0.0,35.08,69.88,3006.53,3076.41,0.062024
GBPUSD,sma,100,flip,1.5,125,0.392,0.8876,-0.0603,0.148,0.25,-2.08,0.0,33.37,273.69,3485.26,3758.96,0.150304
GBPUSD,sma,100,flip,2.0,125,0.344,0.9718,-0.0164,0.1353,0.2414,-0.57,0.0,35.2,333.26,3601.07,3934.33,0.144938
GBPUSD,sma,100,flip,2.5,125,0.304,1.0261,0.0161,0.0975,0.2414,0.56,0.0,36.02,322.26,3742.14,4064.4,0.150204
GBPUSD,sma,100,slope_flip,1.5,44,0.4091,0.952,-0.009,0.0642,0.1379,-0.31,0.0,17.59,144.43,3819.75,3964.17,0.105811
GBPUSD,sma,100,slope_flip,2.0,44,0.2955,0.7613,-0.0519,0.0718,0.1034,-1.79,0.0,20.51,50.49,3741.83,3792.32,0.076429
GBPUSD,sma,100,slope_flip,2.5,44,0.2273,0.705,-0.0678,0.0757,0.0862,-2.34,0.0,22.09,16.48,3712.47,3728.95,0.062441
GBPUSD,sma,100,pullback,1.5,106,0.217,0.4062,-0.3024,0.3096,0.1034,-10.43,0.0,27.65,15.3,2775.19,2790.48,0.053081
GBPUSD,sma,100,pullback,2.0,106,0.217,0.5423,-0.2426,0.2755,0.1121,-8.37,0.0,31.8,73.1,2956.32,3029.42,0.058101
GBPUSD,sma,100,pullback,2.5,105,0.2,0.6127,-0.2106,0.2619,0.1207,-7.26,0.0,34.34,120.08,3037.58,3157.66,0.062325
GBPUSD,wma,21,flip,1.5,387,0.4031,0.9353,-0.0998,0.2006,0.4417,-3.33,-2.32,44.75,64.86,3535.87,3600.73,0.226398
GBPUSD,wma,21,flip,2.0,387,0.3773,1.1382,0.2369,0.1209,0.5583,7.9,11.49,53.6,905.6,4042.19,4947.79,0.2939
GBPUSD,wma,21,flip,2.5,387,0.3669,1.3271,0.603,0.1328,0.625,20.1,21.2,64.78,2168.13,4243.94,6412.08,0.299484
GBPUSD,wma,21,slope_flip,1.5,124,0.4516,1.1979,0.0917,0.0776,0.4,3.06,0.0,28.68,366.79,4000.0,4366.79,0.271607
GBPUSD,wma,21,slope_flip,2.0,124,0.4194,1.4265,0.2114,0.067,0.3833,7.05,0.0,36.12,841.13,4004.31,4845.44,0.246414
GBPUSD,wma,21,slope_flip,2.5,124,0.4032,1.6424,0.3275,0.0914,0.375,10.92,0.0,42.24,1154.73,4155.34,5310.08,0.222999
GBPUSD,wma,21,pullback,1.5,403,0.1985,0.3456,-0.7497,0.7497,0.15,-24.99,-17.1,33.24,0.0,1001.05,1001.05,0.02652
GBPUSD,wma,21,pullback,2.0,399,0.183,0.4218,-0.7153,0.7153,0.2167,-23.84,-20.08,35.6,0.0,1138.65,1138.65,0.042681
GBPUSD,wma,21,pullback,2.5,397,0.1788,0.5265,-0.6446,0.6446,0.2833,-21.49,-18.04,41.14,0.0,1421.64,1421.64,0.066499
GBPUSD,wma,34,flip,1.5,304,0.3586,0.7562,-0.2965,0.3052,0.3782,-9.97,0.0,49.92,0.0,2814.03,2814.03,0.161789
GBPUSD,wma,34,flip,2.0,304,0.3322,0.9264,-0.1022,0.1764,0.437,-3.43,0.0,62.58,100.52,3490.87,3591.39,0.201925
GBPUSD,wma,34,flip,2.5,304,0.3158,1.0811,0.118,0.1715,0.479,3.97,0.0,68.4,714.62,3757.56,4472.18,0.213939
GBPUSD,wma,34,slope_flip,1.5,98,0.398,0.9131,-0.0353,0.1003,0.2857,-1.19,0.0,30.89,32.87,3826.03,3858.9,0.185442
GBPUSD,wma,34,slope_flip,2.0,98,0.3673,1.079,0.034,0.0803,0.2857,1.14,0.0,34.88,117.29,4018.52,4135.81,0.182986
GBPUSD,wma,34,slope_flip,2.5,98,0.3571,1.3099,0.1363,0.0893,0.2773,4.58,0.0,40.35,461.53,4083.79,4545.31,0.167876
GBPUSD,wma,34,pullback,1.5,306,0.219,0.4224,-0.6071,0.6165,0.2101,-20.41,-16.26,35.59,0.0,1571.55,1571.55,0.05576
GBPUSD,wma,34,pullback,2.0,300,0.19,0.4619,-0.5954,0.6056,0.2437,-20.01,-17.78,42.71,0.0,1618.46,1618.46,0.06266
GBPUSD,wma,34,pullback,2.5,298,0.1812,0.5458,-0.5371,0.5517,0.2773,-18.05,-16.26,48.74,0.0,1851.75,1851.75,0.077255
GBPUSD,wma,50,flip,1.5,227,0.3965,0.9207,-0.0739,0.1373,0.3782,-2.49,0.0,36.66,77.21,3627.07,3704.28,0.223709
GBPUSD,wma,50,flip,2.0,227,0.37,1.1056,0.1058,0.1032,0.4034,3.56,0.0,44.1,389.68,4033.39,4423.08,0.233193
GBPUSD,wma,50,flip,2.5,227,0.348,1.2752,0.2888,0.1055,0.4622,9.71,0.0,52.73,1069.08,4086.23,5155.31,0.249187
GBPUSD,wma,50,slope_flip,1.5,75,0.4133,0.9788,-0.0066,0.0662,0.2437,-0.22,0.0,24.28,180.06,3793.74,3973.8,0.174575
GBPUSD,wma,50,slope_flip,2.0,75,0.3867,1.1791,0.0583,0.0555,0.2269,1.96,0.0,28.45,352.77,3880.39,4233.15,0.158089
GBPUSD,wma,50,slope_flip,2.5,75,0.36,1.3615,0.1209,0.0547,0.2269,4.06,0.0,32.94,547.15,3936.38,4483.53,0.151935
GBPUSD,wma,50,pullback,1.5,264,0.2008,0.3792,-0.6044,0.6088,0.2017,-20.31,-15.92,36.36,2.16,1580.38,1582.54,0.054237
GBPUSD,wma,50,pullback,2.0,262,0.1794,0.4255,-0.5739,0.5743,0.2017,-19.29,-13.04,39.36,0.0,1704.31,1704.31,0.057538
GBPUSD,wma,50,pullback,2.5,259,0.1737,0.522,-0.5154,0.5178,0.2353,-17.32,-16.26,46.31,0.0,1938.35,1938.35,0.071866
GBPUSD,wma,55,flip,1.5,215,0.3953,0.8935,-0.0927,0.1273,0.3782,-3.12,0.0,35.39,0.0,3629.05,3629.05,0.228813
GBPUSD,wma,55,flip,2.0,215,0.3581,1.0475,0.0448,0.1306,0.3782,1.51,0.0,40.72,257.67,3921.43,4179.1,0.21787
GBPUSD,wma,55,flip,2.5,215,0.3209,1.115,0.116,0.1246,0.4118,3.9,0.0,47.12,566.06,3897.9,4463.96,0.226837
GBPUSD,wma,55,slope_flip,1.5,70,0.3857,0.8608,-0.0424,0.0731,0.1933,-1.43,0.0,26.18,62.68,3767.67,3830.35,0.134979
GBPUSD,wma,55,slope_flip,2.0,70,0.3286,0.8851,-0.0378,0.073,0.1681,-1.27,0.0,28.71,51.07,3797.8,3848.87,0.114653
GBPUSD,wma,55,slope_flip,2.5,70,0.2714,0.8705,-0.045,0.1028,0.1513,-1.51,0.0,31.52,29.81,3790.0,3819.81,0.097355
GBPUSD,wma,55,pullback,1.5,239,0.2176,0.3972,-0.5381,0.5381,0.1933,-18.09,-10.64,32.73,0.0,1847.6,1847.6,0.063357
GBPUSD,wma,55,pullback,2.0,238,0.1975,0.4568,-0.5055,0.5058,0.1933,-16.99,-13.66,38.1,0.0,1977.86,1977.86,0.064707
GBPUSD,wma,55,pullback,2.5,235,0.1872,0.5459,-0.4476,0.451,0.2353,-15.04,-16.26,44.68,0.0,2209.76,2209.76,0.082888
GBPUSD,wma,89,flip,1.5,195,0.3846,0.8506,-0.1214,0.172,0.2991,-4.15,0.0,36.31,84.71,3429.75,3514.46,0.170365
GBPUSD,wma,89,flip,2.0,195,0.3436,0.9764,-0.0208,0.1509,0.2821,-0.71,0.0,41.18,181.44,3735.51,3916.95,0.158103
GBPUSD,wma,89,flip,2.5,195,0.3077,1.0418,0.0393,0.1336,0.2991,1.34,0.0,46.8,338.32,3818.99,4157.31,0.163514
GBPUSD,wma,89,slope_flip,1.5,60,0.4833,1.2967,0.066,0.0634,0.1966,2.26,0.0,25.55,285.68,3978.23,4263.92,0.13954
GBPUSD,wma,89,slope_flip,2.0,60,0.45,1.5432,0.1289,0.0645,0.2051,4.41,0.0,28.27,476.78,4038.92,4515.7,0.141786
GBPUSD,wma,89,slope_flip,2.5,60,0.4,1.5922,0.1528,0.0753,0.188,5.22,0.0,32.66,579.04,4032.16,4611.2,0.123469
GBPUSD,wma,89,pullback,1.5,181,0.221,0.4248,-0.4453,0.4599,0.1624,-15.22,0.0,37.01,24.91,2194.06,2218.97,0.059965
GBPUSD,wma,89,pullback,2.0,179,0.1955,0.4876,-0.4094,0.4265,0.1624,-14.0,0.0,42.54,16.64,2345.72,2362.35,0.060803
GBPUSD,wma,89,pullback,2.5,179,0.1844,0.5611,-0.3773,0.4007,0.1709,-12.9,0.0,48.57,24.01,2466.74,2490.74,0.063741
GBPUSD,wma,100,flip,1.5,179,0.4078,0.9299,-0.0528,0.113,0.2931,-1.82,0.0,30.72,91.55,3697.13,3788.68,0.187859
GBPUSD,wma,100,flip,2.0,179,0.3631,1.0425,0.0347,0.0899,0.3017,1.2,0.0,37.45,258.56,3880.27,4138.82,0.18705
GBPUSD,wma,100,flip,2.5,179,0.3073,1.025,0.022,0.1454,0.2586,0.76,0.0,44.34,349.76,3738.04,4087.8,0.142199
GBPUSD,wma,100,slope_flip,1.5,59,0.5085,1.4128,0.0873,0.0417,0.181,3.01,0.0,26.08,387.26,3961.94,4349.2,0.130841
GBPUSD,wma,100,slope_flip,2.0,59,0.4576,1.5459,0.1288,0.0524,0.181,4.44,0.0,29.53,532.09,3983.16,4515.25,0.125308
GBPUSD,wma,100,slope_flip,2.5,59,0.4576,1.889,0.2193,0.0515,0.1897,7.56,0.0,36.16,724.27,4152.88,4877.15,0.123889
GBPUSD,wma,100,pullback,1.5,163,0.2454,0.4634,-0.368,0.3741,0.1466,-12.69,0.0,30.09,0.0,2528.01,2528.01,0.066658
GBPUSD,wma,100,pullback,2.0,159,0.2075,0.495,-0.3492,0.3574,0.1466,-12.04,0.0,32.17,0.0,2603.26,2603.26,0.067172
GBPUSD,wma,100,pullback,2.5,159,0.2075,0.6146,-0.2824,0.2958,0.1897,-9.74,0.0,36.41,0.0,2870.34,2870.34,0.091786
GBPUSD,jma,21,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,21,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,34,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
GBPUSD,jma,34,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
