symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
USDJPY,sma,55,pullback,2.5,158,0.1519,0.3992,-0.4376,0.4649,0.1345,-14.71,0.0,36.38,33.06,2216.47,2249.53,0.049452
USDJPY,sma,89,flip,1.5,108,0.4352,1.0384,0.0172,0.1751,0.2222,0.59,0.0,29.67,290.59,3778.18,4068.77,0.133716
USDJPY,sma,89,flip,2.0,108,0.4074,1.2546,0.1234,0.183,0.2137,4.22,0.0,37.42,475.15,4018.29,4493.44,0.118934
USDJPY,sma,89,flip,2.5,108,0.3611,1.2904,0.1539,0.1816,0.2308,5.26,0.0,41.71,608.59,4007.0,4615.59,0.124143
USDJPY,sma,89,slope_flip,1.5,34,0.4412,1.0736,0.0106,0.0661,0.1197,0.36,0.0,16.34,160.9,3881.36,4042.26,0.092799
USDJPY,sma,89,slope_flip,2.0,34,0.4118,1.2757,0.042,0.0728,0.1111,1.44,0.0,19.55,232.36,3935.54,4167.9,0.082792
USDJPY,sma,89,slope_flip,2.5,34,0.3529,1.2651,0.044,0.09,0.1026,1.5,0.0,23.11,277.08,3898.94,4176.03,0.072413
USDJPY,sma,89,pullback,1.5,94,0.2234,0.3916,-0.2817,0.2942,0.1026,-9.63,0.0,24.0,17.43,2855.75,2873.18,0.055689
USDJPY,sma,89,pullback,2.0,94,0.2021,0.4672,-0.2548,0.2788,0.094,-8.71,0.0,27.35,46.65,2934.01,2980.66,0.050526
USDJPY,sma,89,pullback,2.5,90,0.1667,0.4632,-0.2541,0.2943,0.0855,-8.69,0.0,31.03,74.67,2908.74,2983.41,0.043457
USDJPY,sma,100,flip,1.5,90,0.4,0.9137,-0.0339,0.1143,0.1638,-1.17,0.0,25.72,164.89,3699.31,3864.2,0.109783
USDJPY,sma,100,flip,2.0,90,0.3667,1.0715,0.0299,0.1005,0.1638,1.03,0.0,30.74,254.12,3865.45,4119.57,0.106431
USDJPY,sma,100,flip,2.5,90,0.3667,1.3487,0.1483,0.0913,0.2155,5.11,0.0,36.57,548.86,4044.24,4593.1,0.134413
USDJPY,sma,100,slope_flip,1.5,31,0.4194,0.9812,-0.0025,0.0619,0.1121,-0.09,0.0,16.58,101.88,3888.05,3989.93,0.087082
USDJPY,sma,100,slope_flip,2.0,31,0.3548,1.0071,0.001,0.0606,0.0948,0.04,0.0,19.98,91.81,3912.37,4004.19,0.07128
USDJPY,sma,100,slope_flip,2.5,31,0.3548,1.2603,0.0387,0.0613,0.0948,1.33,0.0,23.43,160.97,3993.7,4154.67,0.068848
USDJPY,sma,100,pullback,1.5,69,0.1594,0.2708,-0.2744,0.291,0.0603,-9.46,0.0,24.06,38.72,2863.82,2902.53,0.03289
USDJPY,sma,100,pullback,2.0,68,0.1471,0.333,-0.2517,0.2832,0.0603,-8.68,0.0,26.14,79.99,2913.3,2993.29,0.032604
USDJPY,sma,100,pullback,2.5,66,0.1364,0.3834,-0.2301,0.2646,0.069,-7.93,0.0,26.69,85.38,2994.27,3079.65,0.038028
USDJPY,wma,21,flip,1.5,374,0.4037,0.9175,-0.1279,0.2232,0.5083,-4.26,4.31,53.49,246.94,3241.4,3488.34,0.236635
USDJPY,wma,21,flip,2.0,374,0.361,1.0426,0.0743,0.1518,0.5,2.48,0.35,66.05,594.08,3703.12,4297.21,0.232311
USDJPY,wma,21,flip,2.5,374,0.3396,1.1799,0.3261,0.1807,0.5917,10.87,12.85,74.11,1427.72,3876.83,5304.55,0.251647
USDJPY,wma,21,slope_flip,1.5,107,0.4393,1.1118,0.0485,0.0945,0.3167,1.62,0.0,33.9,435.8,3758.28,4194.09,0.201407
USDJPY,wma,21,slope_flip,2.0,107,0.3832,1.1935,0.0917,0.0913,0.2583,3.06,0.0,41.7,577.26,3789.41,4366.67,0.1543
USDJPY,wma,21,slope_flip,2.5,107,0.3364,1.2003,0.1008,0.1118,0.2417,3.36,0.0,46.21,568.21,3835.16,4403.37,0.136058
USDJPY,wma,21,pullback,1.5,394,0.2107,0.375,-0.7455,0.7455,0.1917,-24.85,-21.61,34.98,0.0,1017.96,1017.96,0.033939
USDJPY,wma,21,pullback,2.0,383,0.1958,0.4562,-0.696,0.696,0.2167,-23.2,-23.25,40.17,0.0,1215.92,1215.92,0.043846
USDJPY,wma,21,pullback,2.5,378,0.1772,0.5037,-0.6661,0.6661,0.2333,-22.2,-22.33,45.56,0.0,1335.41,1335.41,0.049633
USDJPY,wma,34,flip,1.5,282,0.4007,0.9,-0.1175,0.1625,0.4622,-3.95,0.0,46.53,42.48,3487.32,3529.8,0.244754
USDJPY,wma,34,flip,2.0,282,0.3404,0.9428,-0.0741,0.1891,0.4202,-2.49,0.0,53.19,83.99,3619.7,3703.69,0.204649
USDJPY,wma,34,flip,2.5,282,0.3156,1.0457,0.0624,0.2084,0.437,2.1,0.0,65.48,329.42,3920.36,4249.79,0.190212
USDJPY,wma,34,slope_flip,1.5,74,0.3919,0.8675,-0.0433,0.0986,0.1765,-1.45,0.0,23.61,0.0,3826.95,3826.95,0.122821
USDJPY,wma,34,slope_flip,2.0,74,0.3649,1.0687,0.0234,0.0826,0.1681,0.79,0.0,26.97,102.63,3991.11,4093.75,0.115316
USDJPY,wma,34,slope_flip,2.5,74,0.3243,1.0686,0.0247,0.1136,0.1681,0.83,0.0,32.34,116.56,3982.27,4098.83,0.10609
USDJPY,wma,34,pullback,1.5,292,0.1849,0.2905,-0.6907,0.6949,0.1261,-23.22,-18.64,30.45,0.0,1237.26,1237.26,0.027854
USDJPY,wma,34,pullback,2.0,289,0.1696,0.3559,-0.6572,0.6628,0.1597,-22.09,-14.55,32.58,0.0,1371.11,1371.11,0.038262
USDJPY,wma,34,pullback,2.5,287,0.1429,0.3635,-0.6615,0.6648,0.2017,-22.24,-15.78,37.43,0.0,1353.96,1353.96,0.04606
USDJPY,wma,50,flip,1.5,247,0.3765,0.8112,-0.1916,0.2771,0.3866,-6.44,0.0,42.53,159.85,3073.76,3233.61,0.182448
USDJPY,wma,50,flip,2.0,247,0.3441,0.9561,-0.0495,0.2152,0.3866,-1.66,0.0,50.54,310.09,3491.8,3801.89,0.185912
