symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,sma,34,slope_flip,2.5,81,0.3704,1.3974,0.1414,0.0962,0.2353,4.75,0.0,40.68,544.3,4021.12,4565.42,0.140978
EURUSD,sma,34,pullback,1.5,204,0.2206,0.414,-0.4997,0.5049,0.1933,-16.8,-16.05,31.51,0.01,2001.28,2001.29,0.068645
EURUSD,sma,34,pullback,2.0,203,0.2118,0.5262,-0.4368,0.4532,0.1933,-14.68,-16.26,36.83,26.5,2226.22,2252.72,0.072361
EURUSD,sma,34,pullback,2.5,202,0.203,0.6315,-0.3582,0.4011,0.2437,-12.04,-16.26,42.31,108.33,2458.95,2567.28,0.095463
EURUSD,sma,50,flip,1.5,191,0.4136,0.9511,-0.0397,0.097,0.3277,-1.33,0.0,43.51,121.16,3720.13,3841.29,0.191689
EURUSD,sma,50,flip,2.0,191,0.356,1.0133,0.0118,0.1148,0.3025,0.4,0.0,45.97,262.11,3784.96,4047.08,0.170067
EURUSD,sma,50,flip,2.5,191,0.3194,1.0829,0.0783,0.0909,0.3361,2.63,0.0,48.43,433.99,3879.14,4313.13,0.190355
EURUSD,sma,50,slope_flip,1.5,57,0.386,0.8299,-0.0444,0.0672,0.1261,-1.49,0.0,23.4,25.91,3796.42,3822.33,0.090968
EURUSD,sma,50,slope_flip,2.0,57,0.3509,0.982,-0.0049,0.0771,0.1176,-0.16,0.0,26.07,158.16,3822.4,3980.56,0.081891
EURUSD,sma,50,slope_flip,2.5,57,0.2982,0.9927,-0.0021,0.0728,0.1261,-0.07,0.0,28.87,206.54,3784.97,3991.51,0.085881
EURUSD,sma,50,pullback,1.5,151,0.1589,0.2618,-0.484,0.484,0.0588,-16.27,0.0,29.01,0.0,2063.84,2063.84,0.022274
